Timestamp,Prediction
20180101_0835-0840,1.0
20180101_0840-0845,1.0
20180101_0845-0850,1.0
20180101_0850-0855,1.0
20180101_0855-0900,1.0
20180101_0900-0905,1.0
20180101_0905-0910,1.0
20180101_0910-0915,1.0
20180101_0915-0920,1.0
20180101_0920-0925,1.0
20180101_0925-0930,1.0
20180101_0930-0935,1.0
20180101_0935-0940,1.0
20180101_0940-0945,1.0
20180101_0945-0950,1.0
20180101_0950-0955,1.0
20180101_0955-1000,1.0
20180101_1000-1005,1.0
20180101_1005-1010,1.0
20180101_1010-1015,1.0
20180101_1015-1020,1.0
20180101_1020-1025,1.0
20180101_1025-1030,1.0
20180101_1030-1035,1.0
20180101_1035-1040,1.0
20180101_1040-1045,1.0
20180101_1045-1050,1.0
20180101_1050-1055,1.0
20180101_1055-1100,1.0
20180101_1100-1105,1.0
20180101_1105-1110,1.0
20180101_1110-1115,1.0
20180101_1115-1120,1.0
20180101_1120-1125,1.0
20180101_1125-1130,1.0
20180101_1130-1135,1.0
20180101_1135-1140,1.0
20180101_1140-1145,1.0
20180101_1145-1150,1.0
20180101_1150-1155,1.0
20180101_1155-1200,1.0
20180101_1200-1205,1.0
20180101_1205-1210,1.0
20180101_1210-1215,1.0
20180101_1215-1220,1.0
20180101_1220-1225,1.0
20180101_1225-1230,1.0
20180101_1230-1235,1.0
20180101_1235-1240,1.0
20180101_1240-1245,1.0
20180101_1245-1250,1.0
20180101_1250-1255,1.0
20180101_1255-1300,1.0
20180101_1300-1305,1.0
20180101_1305-1310,1.0
20180101_1310-1315,1.0
20180101_1315-1320,1.0
20180101_1320-1325,1.0
20180101_1325-1330,1.0
20180101_1330-1335,1.0
20180101_1335-1340,1.0
20180101_1340-1345,1.0
20180101_1345-1350,1.0
20180101_1350-1355,1.0
20180101_1355-1400,1.0
20180101_1400-1405,1.0
20180101_1405-1410,1.0
20180101_1410-1415,1.0
20180101_1415-1420,1.0
20180101_1420-1425,1.0
20180101_1425-1430,1.0
20180101_1430-1435,1.0
20180101_1435-1440,1.0
20180101_1440-1445,1.0
20180101_1445-1450,1.0
20180101_1450-1455,1.0
20180101_1455-1500,1.0
20180101_1500-1505,1.0
20180101_1505-1510,1.0
20180101_1510-1515,1.0
20180101_1515-1520,1.0
20180101_1520-1525,1.0
20180101_1525-1530,1.0
20180101_1530-1535,1.0
20180101_1535-1540,1.0
20180101_1540-1545,1.0
20180101_1545-1550,1.0
20180101_1550-1555,1.0
20180101_1555-1600,1.0
20180101_1600-1605,1.0
20180101_1605-1610,1.0
20180101_1610-1615,1.0
20180101_1615-1620,1.0
20180101_1620-1625,1.0
20180101_1625-1630,1.0
20180101_1630-1635,1.0
20180101_1635-1640,1.0
20180101_1640-1645,1.0
20180101_1645-1650,1.0
20180101_1650-1655,1.0
20180101_1655-1700,1.0
20180101_1700-1705,1.0
20180101_1705-1710,1.0
20180101_1710-1715,1.0
20180101_1715-1720,1.0
20180101_1720-1725,1.0
20180101_1725-1730,1.0
20180101_1730-1735,1.0
20180101_1735-1740,1.0
20180101_1740-1745,1.0
20180101_1745-1750,1.0
20180101_1750-1755,1.0
20180101_1755-1800,1.0
20180101_1800-1805,1.0
20180101_1805-1810,1.0
20180101_1810-1815,1.0
20180101_1815-1820,1.0
20180101_1820-1825,1.0
20180101_1825-1830,1.0
20180101_1830-1835,1.0
20180101_1835-1840,1.0
20180101_1840-1845,1.0
20180101_1845-1850,1.0
20180101_1850-1855,1.0
20180101_1855-1900,1.0
20180101_1900-1905,1.0
20180101_1905-1910,1.0
20180101_1910-1915,1.0
20180101_1915-1920,1.0
20180101_1920-1925,1.0
20180101_1925-1930,1.0
20180101_1930-1935,1.0
20180101_1935-1940,1.0
20180101_1940-1945,1.0
20180101_1945-1950,1.0
20180101_1950-1955,1.0
20180101_1955-2000,1.0
20180101_2000-2005,1.0
20180101_2005-2010,1.0
20180101_2010-2015,1.0
20180101_2015-2020,1.0
20180101_2020-2025,1.0
20180101_2025-2030,1.0
20180101_2030-2035,1.0
20180101_2035-2040,1.0
20180101_2040-2045,1.0
20180101_2045-2050,1.0
20180101_2050-2055,1.0
20180101_2055-2100,1.0
20180101_2100-2105,1.0
20180101_2105-2110,1.0
20180101_2110-2115,1.0
20180101_2115-2120,1.0
20180101_2120-2125,1.0
20180101_2125-2130,1.0
20180101_2130-2135,1.0
20180101_2135-2140,1.0
20180101_2140-2145,1.0
20180101_2145-2150,1.0
20180101_2150-2155,1.0
20180101_2155-2200,1.0
20180101_2200-2205,1.0
20180101_2205-2210,1.0
20180101_2210-2215,1.0
20180101_2215-2220,1.0
20180101_2220-2225,1.0
20180101_2225-2230,1.0
20180101_2230-2235,1.0
20180101_2235-2240,1.0
20180101_2240-2245,1.0
20180101_2245-2250,1.0
20180101_2250-2255,1.0
20180101_2255-2300,1.0
20180101_2300-2305,1.0
20180101_2305-2310,1.0
20180101_2310-2315,1.0
20180101_2315-2320,1.0
20180101_2320-2325,1.0
20180101_2325-2330,1.0
20180101_2330-2335,1.0
20180101_2335-2340,1.0
20180101_2340-2345,1.0
20180101_2345-2350,1.0
20180101_2350-2355,1.0
20180101_2355-0000,1.0
20180102_0000-0005,1.0
20180102_0005-0010,1.0
20180102_0010-0015,1.0
20180102_0015-0020,1.0
20180102_0020-0025,1.0
20180102_0025-0030,1.0
20180102_0030-0035,1.0
20180102_0035-0040,1.0
20180102_0040-0045,1.0
20180102_0045-0050,1.0
20180102_0050-0055,1.0
20180102_0055-0100,1.0
20180102_0100-0105,1.0
20180102_0105-0110,1.0
20180102_0110-0115,1.0
20180102_0115-0120,1.0
20180102_0120-0125,1.0
20180102_0125-0130,1.0
20180102_0130-0135,1.0
20180102_0135-0140,1.0
20180102_0140-0145,1.0
20180102_0145-0150,1.0
20180102_0150-0155,1.0
20180102_0155-0200,1.0
20180102_0200-0205,1.0
20180102_0205-0210,1.0
20180102_0210-0215,1.0
20180102_0215-0220,1.0
20180102_0220-0225,1.0
20180102_0225-0230,1.0
20180102_0230-0235,1.0
20180102_0235-0240,1.0
20180102_0240-0245,1.0
20180102_0245-0250,1.0
20180102_0250-0255,1.0
20180102_0255-0300,1.0
20180102_0300-0305,1.0
20180102_0305-0310,1.0
20180102_0310-0315,1.0
20180102_0315-0320,1.0
20180102_0320-0325,1.0
20180102_0325-0330,1.0
20180102_0330-0335,1.0
20180102_0335-0340,1.0
20180102_0340-0345,1.0
20180102_0345-0350,1.0
20180102_0350-0355,1.0
20180102_0355-0400,1.0
20180102_0400-0405,1.0
20180102_0405-0410,1.0
20180102_0410-0415,1.0
20180102_0415-0420,1.0
20180102_0420-0425,1.0
20180102_0425-0430,1.0
20180102_0430-0435,1.0
20180102_0435-0440,1.0
20180102_0440-0445,1.0
20180102_0445-0450,1.0
20180102_0450-0455,1.0
20180102_0455-0500,1.0
20180102_0500-0505,1.0
20180102_0505-0510,1.0
20180102_0510-0515,1.0
20180102_0515-0520,1.0
20180102_0520-0525,1.0
20180102_0525-0530,1.0
20180102_0530-0535,1.0
20180102_0535-0540,1.0
20180102_0540-0545,1.0
20180102_0545-0550,1.0
20180102_0550-0555,1.0
20180102_0555-0600,1.0
20180102_0600-0605,1.0
20180102_0605-0610,1.0
20180102_0610-0615,1.0
20180102_0615-0620,1.0
20180102_0620-0625,1.0
20180102_0625-0630,1.0
20180102_0630-0635,1.0
20180102_0635-0640,1.0
20180102_0640-0645,1.0
20180102_0645-0650,1.0
20180102_0650-0655,1.0
20180102_0655-0700,1.0
20180102_0700-0705,1.0
20180102_0705-0710,1.0
20180102_0710-0715,1.0
20180102_0715-0720,1.0
20180102_0720-0725,1.0
20180102_0725-0730,1.0
20180102_0730-0735,1.0
20180102_0735-0740,1.0
20180102_0740-0745,1.0
20180102_0745-0750,1.0
20180102_0750-0755,1.0
20180102_0755-0800,1.0
20180102_0800-0805,1.0
20180102_0805-0810,1.0
20180102_0810-0815,1.0
20180102_0815-0820,1.0
20180102_0820-0825,1.0
20180102_0825-0830,1.0
20180102_0830-0835,1.0
20180102_0835-0840,1.0
20180102_0840-0845,1.0
20180102_0845-0850,1.0
20180102_0850-0855,1.0
20180102_0855-0900,1.0
20180102_0900-0905,1.0
20180102_0905-0910,1.0
20180102_0910-0915,1.0
20180102_0915-0920,1.0
20180102_0920-0925,1.0
20180102_0925-0930,1.0
20180102_0930-0935,1.0
20180102_0935-0940,1.0
20180102_0940-0945,1.0
20180102_0945-0950,1.0
20180102_0950-0955,1.0
20180102_0955-1000,1.0
20180102_1000-1005,1.0
20180102_1005-1010,1.0
20180102_1010-1015,1.0
20180102_1015-1020,1.0
20180102_1020-1025,1.0
20180102_1025-1030,1.0
20180102_1030-1035,1.0
20180102_1035-1040,1.0
20180102_1040-1045,1.0
20180102_1045-1050,1.0
20180102_1050-1055,1.0
20180102_1055-1100,1.0
20180102_1100-1105,1.0
20180102_1105-1110,1.0
20180102_1110-1115,1.0
20180102_1115-1120,1.0
20180102_1120-1125,1.0
20180102_1125-1130,1.0
20180102_1130-1135,1.0
20180102_1135-1140,1.0
20180102_1140-1145,1.0
20180102_1145-1150,1.0
20180102_1150-1155,1.0
20180102_1155-1200,1.0
20180102_1200-1205,1.0
20180102_1205-1210,1.0
20180102_1210-1215,1.0
20180102_1215-1220,1.0
20180102_1220-1225,1.0
20180102_1225-1230,1.0
20180102_1230-1235,1.0
20180102_1235-1240,1.0
20180102_1240-1245,1.0
20180102_1245-1250,1.0
20180102_1250-1255,1.0
20180102_1255-1300,1.0
20180102_1300-1305,1.0
20180102_1305-1310,1.0
20180102_1310-1315,1.0
20180102_1315-1320,1.0
20180102_1320-1325,1.0
20180102_1325-1330,1.0
20180102_1330-1335,1.0
20180102_1335-1340,1.0
20180102_1340-1345,1.0
20180102_1345-1350,1.0
20180102_1350-1355,1.0
20180102_1355-1400,1.0
20180102_1400-1405,1.0
20180102_1405-1410,1.0
20180102_1410-1415,1.0
20180102_1415-1420,1.0
20180102_1420-1425,1.0
20180102_1425-1430,1.0
20180102_1430-1435,1.0
20180102_1435-1440,1.0
20180102_1440-1445,1.0
20180102_1445-1450,1.0
20180102_1450-1455,1.0
20180102_1455-1500,1.0
20180102_1500-1505,1.0
20180102_1505-1510,1.0
20180102_1510-1515,1.0
20180102_1515-1520,1.0
20180102_1520-1525,1.0
20180102_1525-1530,1.0
20180102_1530-1535,1.0
20180102_1535-1540,1.0
20180102_1540-1545,1.0
20180102_1545-1550,1.0
20180102_1550-1555,1.0
20180102_1555-1600,1.0
20180102_1600-1605,1.0
20180102_1605-1610,1.0
20180102_1610-1615,1.0
20180102_1615-1620,1.0
20180102_1620-1625,1.0
20180102_1625-1630,1.0
20180102_1630-1635,1.0
20180102_1635-1640,1.0
20180102_1640-1645,1.0
20180102_1645-1650,1.0
20180102_1650-1655,1.0
20180102_1655-1700,1.0
20180102_1700-1705,1.0
20180102_1705-1710,1.0
20180102_1710-1715,1.0
20180102_1715-1720,1.0
20180102_1720-1725,1.0
20180102_1725-1730,1.0
20180102_1730-1735,1.0
20180102_1735-1740,1.0
20180102_1740-1745,1.0
20180102_1745-1750,1.0
20180102_1750-1755,1.0
20180102_1755-1800,1.0
20180102_1800-1805,1.0
20180102_1805-1810,1.0
20180102_1810-1815,1.0
20180102_1815-1820,1.0
20180102_1820-1825,1.0
20180102_1825-1830,1.0
20180102_1830-1835,1.0
20180102_1835-1840,1.0
20180102_1840-1845,1.0
20180102_1845-1850,1.0
20180102_1850-1855,1.0
20180102_1855-1900,1.0
20180102_1900-1905,1.0
20180102_1905-1910,1.0
20180102_1910-1915,1.0
20180102_1915-1920,1.0
20180102_1920-1925,1.0
20180102_1925-1930,1.0
20180102_1930-1935,1.0
20180102_1935-1940,1.0
20180102_1940-1945,1.0
20180102_1945-1950,1.0
20180102_1950-1955,1.0
20180102_1955-2000,1.0
20180102_2000-2005,1.0
20180102_2005-2010,1.0
20180102_2010-2015,1.0
20180102_2015-2020,1.0
20180102_2020-2025,1.0
20180102_2025-2030,1.0
20180102_2030-2035,1.0
20180102_2035-2040,1.0
20180102_2040-2045,1.0
20180102_2045-2050,1.0
20180102_2050-2055,1.0
20180102_2055-2100,1.0
20180102_2100-2105,1.0
20180102_2105-2110,1.0
20180102_2110-2115,1.0
20180102_2115-2120,1.0
20180102_2120-2125,1.0
20180102_2125-2130,1.0
20180102_2130-2135,1.0
20180102_2135-2140,1.0
20180102_2140-2145,1.0
20180102_2145-2150,1.0
20180102_2150-2155,1.0
20180102_2155-2200,1.0
20180102_2200-2205,1.0
20180102_2205-2210,1.0
20180102_2210-2215,1.0
20180102_2215-2220,1.0
20180102_2220-2225,1.0
20180102_2225-2230,1.0
20180102_2230-2235,1.0
20180102_2235-2240,1.0
20180102_2240-2245,1.0
20180102_2245-2250,1.0
20180102_2250-2255,1.0
20180102_2255-2300,1.0
20180102_2300-2305,1.0
20180102_2305-2310,1.0
20180102_2310-2315,1.0
20180102_2315-2320,1.0
20180102_2320-2325,1.0
20180102_2325-2330,1.0
20180102_2330-2335,1.0
20180102_2335-2340,1.0
20180102_2340-2345,1.0
20180102_2345-2350,1.0
20180102_2350-2355,1.0
20180102_2355-0000,1.0
20180103_0000-0005,1.0
20180103_0005-0010,1.0
20180103_0010-0015,1.0
20180103_0015-0020,1.0
20180103_0020-0025,1.0
20180103_0025-0030,1.0
20180103_0030-0035,1.0
20180103_0035-0040,1.0
20180103_0040-0045,1.0
20180103_0045-0050,1.0
20180103_0050-0055,1.0
20180103_0055-0100,1.0
20180103_0100-0105,1.0
20180103_0105-0110,1.0
20180103_0110-0115,1.0
20180103_0115-0120,1.0
20180103_0120-0125,1.0
20180103_0125-0130,1.0
20180103_0130-0135,1.0
20180103_0135-0140,1.0
20180103_0140-0145,1.0
20180103_0145-0150,1.0
20180103_0150-0155,1.0
20180103_0155-0200,1.0
20180103_0200-0205,1.0
20180103_0205-0210,1.0
20180103_0210-0215,1.0
20180103_0215-0220,1.0
20180103_0220-0225,1.0
20180103_0225-0230,1.0
20180103_0230-0235,1.0
20180103_0235-0240,1.0
20180103_0240-0245,1.0
20180103_0245-0250,1.0
20180103_0250-0255,1.0
20180103_0255-0300,1.0
20180103_0300-0305,1.0
20180103_0305-0310,1.0
20180103_0310-0315,1.0
20180103_0315-0320,1.0
20180103_0320-0325,1.0
20180103_0325-0330,1.0
20180103_0330-0335,1.0
20180103_0335-0340,1.0
20180103_0340-0345,1.0
20180103_0345-0350,1.0
20180103_0350-0355,1.0
20180103_0355-0400,1.0
20180103_0400-0405,1.0
20180103_0405-0410,1.0
20180103_0410-0415,1.0
20180103_0415-0420,1.0
20180103_0420-0425,1.0
20180103_0425-0430,1.0
20180103_0430-0435,1.0
20180103_0435-0440,1.0
20180103_0440-0445,1.0
20180103_0445-0450,1.0
20180103_0450-0455,1.0
20180103_0455-0500,1.0
20180103_0500-0505,1.0
20180103_0505-0510,1.0
20180103_0510-0515,1.0
20180103_0515-0520,1.0
20180103_0520-0525,1.0
20180103_0525-0530,1.0
20180103_0530-0535,1.0
20180103_0535-0540,1.0
20180103_0540-0545,1.0
20180103_0545-0550,1.0
20180103_0550-0555,1.0
20180103_0555-0600,1.0
20180103_0600-0605,1.0
20180103_0605-0610,1.0
20180103_0610-0615,1.0
20180103_0615-0620,1.0
20180103_0620-0625,1.0
20180103_0625-0630,1.0
20180103_0630-0635,1.0
20180103_0635-0640,1.0
20180103_0640-0645,1.0
20180103_0645-0650,1.0
20180103_0650-0655,1.0
20180103_0655-0700,1.0
20180103_0700-0705,1.0
20180103_0705-0710,1.0
20180103_0710-0715,1.0
20180103_0715-0720,1.0
20180103_0720-0725,1.0
20180103_0725-0730,1.0
20180103_0730-0735,1.0
20180103_0735-0740,1.0
20180103_0740-0745,1.0
20180103_0745-0750,1.0
20180103_0750-0755,1.0
20180103_0755-0800,1.0
20180103_0800-0805,1.0
20180103_0805-0810,1.0
20180103_0810-0815,1.0
20180103_0815-0820,1.0
20180103_0820-0825,1.0
20180103_0825-0830,1.0
20180103_0830-0835,1.0
20180103_0835-0840,1.0
20180103_0840-0845,1.0
20180103_0845-0850,1.0
20180103_0850-0855,1.0
20180103_0855-0900,1.0
20180103_0900-0905,1.0
20180103_0905-0910,1.0
20180103_0910-0915,1.0
20180103_0915-0920,1.0
20180103_0920-0925,1.0
20180103_0925-0930,1.0
20180103_0930-0935,1.0
20180103_0935-0940,1.0
20180103_0940-0945,1.0
20180103_0945-0950,1.0
20180103_0950-0955,1.0
20180103_0955-1000,1.0
20180103_1000-1005,1.0
20180103_1005-1010,1.0
20180103_1010-1015,1.0
20180103_1015-1020,1.0
20180103_1020-1025,1.0
20180103_1025-1030,1.0
20180103_1030-1035,1.0
20180103_1035-1040,1.0
20180103_1040-1045,1.0
20180103_1045-1050,1.0
20180103_1050-1055,1.0
20180103_1055-1100,1.0
20180103_1100-1105,1.0
20180103_1105-1110,1.0
20180103_1110-1115,1.0
20180103_1115-1120,1.0
20180103_1120-1125,1.0
20180103_1125-1130,1.0
20180103_1130-1135,1.0
20180103_1135-1140,1.0
20180103_1140-1145,1.0
20180103_1145-1150,1.0
20180103_1150-1155,1.0
20180103_1155-1200,1.0
20180103_1200-1205,1.0
20180103_1205-1210,1.0
20180103_1210-1215,1.0
20180103_1215-1220,1.0
20180103_1220-1225,1.0
20180103_1225-1230,1.0
20180103_1230-1235,1.0
20180103_1235-1240,1.0
20180103_1240-1245,1.0
20180103_1245-1250,1.0
20180103_1250-1255,1.0
20180103_1255-1300,1.0
20180103_1300-1305,1.0
20180103_1305-1310,1.0
20180103_1310-1315,1.0
20180103_1315-1320,1.0
20180103_1320-1325,1.0
20180103_1325-1330,1.0
20180103_1330-1335,1.0
20180103_1335-1340,1.0
20180103_1340-1345,1.0
20180103_1345-1350,1.0
20180103_1350-1355,1.0
20180103_1355-1400,1.0
20180103_1400-1405,1.0
20180103_1405-1410,1.0
20180103_1410-1415,1.0
20180103_1415-1420,1.0
20180103_1420-1425,1.0
20180103_1425-1430,1.0
20180103_1430-1435,1.0
20180103_1435-1440,1.0
20180103_1440-1445,1.0
20180103_1445-1450,1.0
20180103_1450-1455,1.0
20180103_1455-1500,1.0
20180103_1500-1505,1.0
20180103_1505-1510,1.0
20180103_1510-1515,1.0
20180103_1515-1520,1.0
20180103_1520-1525,1.0
20180103_1525-1530,1.0
20180103_1530-1535,1.0
20180103_1535-1540,1.0
20180103_1540-1545,1.0
20180103_1545-1550,1.0
20180103_1550-1555,1.0
20180103_1555-1600,1.0
20180103_1600-1605,1.0
20180103_1605-1610,1.0
20180103_1610-1615,1.0
20180103_1615-1620,1.0
20180103_1620-1625,1.0
20180103_1625-1630,1.0
20180103_1630-1635,1.0
20180103_1635-1640,1.0
20180103_1640-1645,1.0
20180103_1645-1650,1.0
20180103_1650-1655,1.0
20180103_1655-1700,1.0
20180103_1700-1705,1.0
20180103_1705-1710,1.0
20180103_1710-1715,1.0
20180103_1715-1720,1.0
20180103_1720-1725,1.0
20180103_1725-1730,1.0
20180103_1730-1735,1.0
20180103_1735-1740,1.0
20180103_1740-1745,1.0
20180103_1745-1750,1.0
20180103_1750-1755,1.0
20180103_1755-1800,1.0
20180103_1800-1805,1.0
20180103_1805-1810,1.0
20180103_1810-1815,1.0
20180103_1815-1820,1.0
20180103_1820-1825,1.0
20180103_1825-1830,1.0
20180103_1830-1835,1.0
20180103_1835-1840,1.0
20180103_1840-1845,1.0
20180103_1845-1850,1.0
20180103_1850-1855,1.0
20180103_1855-1900,1.0
20180103_1900-1905,1.0
20180103_1905-1910,1.0
20180103_1910-1915,1.0
20180103_1915-1920,1.0
20180103_1920-1925,1.0
20180103_1925-1930,1.0
20180103_1930-1935,1.0
20180103_1935-1940,1.0
20180103_1940-1945,1.0
20180103_1945-1950,1.0
20180103_1950-1955,1.0
20180103_1955-2000,1.0
20180103_2000-2005,1.0
20180103_2005-2010,1.0
20180103_2010-2015,1.0
20180103_2015-2020,1.0
20180103_2020-2025,1.0
20180103_2025-2030,1.0
20180103_2030-2035,1.0
20180103_2035-2040,1.0
20180103_2040-2045,1.0
20180103_2045-2050,1.0
20180103_2050-2055,1.0
20180103_2055-2100,1.0
20180103_2100-2105,1.0
20180103_2105-2110,1.0
20180103_2110-2115,1.0
20180103_2115-2120,1.0
20180103_2120-2125,1.0
20180103_2125-2130,1.0
20180103_2130-2135,1.0
20180103_2135-2140,1.0
20180103_2140-2145,1.0
20180103_2145-2150,1.0
20180103_2150-2155,1.0
20180103_2155-2200,1.0
20180103_2200-2205,1.0
20180103_2205-2210,1.0
20180103_2210-2215,1.0
20180103_2215-2220,1.0
20180103_2220-2225,1.0
20180103_2225-2230,1.0
20180103_2230-2235,1.0
20180103_2235-2240,1.0
20180103_2240-2245,1.0
20180103_2245-2250,1.0
20180103_2250-2255,1.0
20180103_2255-2300,1.0
20180103_2300-2305,1.0
20180103_2305-2310,1.0
20180103_2310-2315,1.0
20180103_2315-2320,1.0
20180103_2320-2325,1.0
20180103_2325-2330,1.0
20180103_2330-2335,1.0
20180103_2335-2340,1.0
20180103_2340-2345,1.0
20180103_2345-2350,1.0
20180103_2350-2355,1.0
20180103_2355-0000,1.0
20180104_0000-0005,1.0
20180104_0005-0010,1.0
20180104_0010-0015,1.0
20180104_0015-0020,1.0
20180104_0020-0025,1.0
20180104_0025-0030,1.0
20180104_0030-0035,1.0
20180104_0035-0040,1.0
20180104_0040-0045,1.0
20180104_0045-0050,1.0
20180104_0050-0055,1.0
20180104_0055-0100,1.0
20180104_0100-0105,1.0
20180104_0105-0110,1.0
20180104_0110-0115,1.0
20180104_0115-0120,1.0
20180104_0120-0125,1.0
20180104_0125-0130,1.0
20180104_0130-0135,1.0
20180104_0135-0140,1.0
20180104_0140-0145,1.0
20180104_0145-0150,1.0
20180104_0150-0155,1.0
20180104_0155-0200,1.0
20180104_0200-0205,1.0
20180104_0205-0210,1.0
20180104_0210-0215,1.0
20180104_0215-0220,1.0
20180104_0220-0225,1.0
20180104_0225-0230,1.0
20180104_0230-0235,1.0
20180104_0235-0240,1.0
20180104_0240-0245,1.0
20180104_0245-0250,1.0
20180104_0250-0255,1.0
20180104_0255-0300,1.0
20180104_0300-0305,1.0
20180104_0305-0310,1.0
20180104_0310-0315,1.0
20180104_0315-0320,1.0
20180104_0320-0325,1.0
20180104_0325-0330,1.0
20180104_0330-0335,1.0
20180104_0335-0340,1.0
20180104_0340-0345,1.0
20180104_0345-0350,1.0
20180104_0350-0355,1.0
20180104_0355-0400,1.0
20180104_0400-0405,1.0
20180104_0405-0410,1.0
20180104_0410-0415,1.0
20180104_0415-0420,1.0
20180104_0420-0425,1.0
20180104_0425-0430,1.0
20180104_0430-0435,1.0
20180104_0435-0440,1.0
20180104_0440-0445,1.0
20180104_0445-0450,1.0
20180104_0450-0455,1.0
20180104_0455-0500,1.0
20180104_0500-0505,1.0
20180104_0505-0510,1.0
20180104_0510-0515,1.0
20180104_0515-0520,1.0
20180104_0520-0525,1.0
20180104_0525-0530,1.0
20180104_0530-0535,1.0
20180104_0535-0540,1.0
20180104_0540-0545,1.0
20180104_0545-0550,1.0
20180104_0550-0555,1.0
20180104_0555-0600,1.0
20180104_0600-0605,1.0
20180104_0605-0610,1.0
20180104_0610-0615,1.0
20180104_0615-0620,1.0
20180104_0620-0625,1.0
20180104_0625-0630,1.0
20180104_0630-0635,1.0
20180104_0635-0640,1.0
20180104_0640-0645,1.0
20180104_0645-0650,1.0
20180104_0650-0655,1.0
20180104_0655-0700,1.0
20180104_0700-0705,1.0
20180104_0705-0710,1.0
20180104_0710-0715,1.0
20180104_0715-0720,1.0
20180104_0720-0725,1.0
20180104_0725-0730,1.0
20180104_0730-0735,1.0
20180104_0735-0740,1.0
20180104_0740-0745,1.0
20180104_0745-0750,1.0
20180104_0750-0755,1.0
20180104_0755-0800,1.0
20180104_0800-0805,1.0
20180104_0805-0810,1.0
20180104_0810-0815,1.0
20180104_0815-0820,1.0
20180104_0820-0825,1.0
20180104_0825-0830,1.0
20180104_0830-0835,1.0
20180104_0835-0840,1.0
20180104_0840-0845,1.0
20180104_0845-0850,1.0
20180104_0850-0855,1.0
20180104_0855-0900,1.0
20180104_0900-0905,1.0
20180104_0905-0910,1.0
20180104_0910-0915,1.0
20180104_0915-0920,1.0
20180104_0920-0925,1.0
20180104_0925-0930,1.0
20180104_0930-0935,1.0
20180104_0935-0940,1.0
20180104_0940-0945,1.0
20180104_0945-0950,1.0
20180104_0950-0955,1.0
20180104_0955-1000,1.0
20180104_1000-1005,1.0
20180104_1005-1010,1.0
20180104_1010-1015,1.0
20180104_1015-1020,1.0
20180104_1020-1025,1.0
20180104_1025-1030,1.0
20180104_1030-1035,1.0
20180104_1035-1040,1.0
20180104_1040-1045,1.0
20180104_1045-1050,1.0
20180104_1050-1055,1.0
20180104_1055-1100,1.0
20180104_1100-1105,1.0
20180104_1105-1110,1.0
