Timestamp,Svr_detect,Svr_connect,Ss_request,Ss_Established
20210101_2320-2330,0,0,1,6
20210101_2330-2340,0,0,2,14
20210101_2340-2350,0,0,4,16
20210101_2350-0000,0,0,4,14
20210102_0000-0010,0,0,4,15
20210102_0010-0020,0,0,1,11
20210102_0020-0030,0,0,2,10
20210102_0030-0040,0,0,4,6
20210102_0040-0050,0,0,6,6
20210102_0050-0100,0,0,2,9
20210102_0100-0110,0,0,2,11
20210102_0110-0120,0,0,1,13
20210102_0120-0130,0,0,3,8
20210102_0130-0140,0,0,3,8
20210102_0140-0150,0,0,3,7
20210102_0150-0200,0,0,2,6
20210102_0200-0210,0,0,1,6
20210102_0210-0220,0,0,2,6
20210102_0220-0230,0,0,3,8
20210102_0230-0240,0,0,3,12
20210102_0240-0250,0,0,2,7
20210102_0250-0300,0,0,1,11
20210102_0300-0310,0,0,2,7
20210102_0310-0320,0,0,3,10
20210102_0320-0330,0,0,4,9
20210102_0330-0340,0,0,2,5
20210102_0340-0350,0,0,0,4
20210102_0350-0400,0,0,1,4
20210102_0400-0410,0,0,3,6
20210102_0410-0420,0,0,4,6
20210102_0420-0430,0,0,2,6
20210102_0430-0440,0,0,1,5
20210102_0440-0450,0,0,1,0
20210102_0450-0500,0,0,3,5
20210102_0500-0510,0,0,3,6
20210102_0510-0520,0,0,3,6
20210102_0520-0530,0,0,1,5
20210102_0530-0540,0,0,1,2
20210102_0540-0550,0,0,2,5
20210102_0550-0600,0,0,3,6
20210102_0600-0610,0,0,4,5
20210102_0610-0620,0,0,2,4
20210102_0620-0630,0,0,1,0
20210102_0630-0640,0,0,2,2
20210102_0640-0650,0,0,3,3
20210102_0650-0700,0,0,5,5
20210102_0700-0710,0,0,2,4
20210102_0710-0720,0,0,0,4
20210102_0720-0730,0,0,1,4
20210102_0730-0740,0,0,3,5
20210102_0740-0750,0,0,4,5
20210102_0750-0800,0,0,2,5
20210102_0800-0810,0,0,1,1
20210102_0810-0820,0,0,1,6
20210102_0820-0830,0,0,3,6
20210102_0830-0840,0,0,3,9
20210102_0840-0850,0,0,3,4
20210102_0850-0900,0,0,3,4
20210102_0900-0910,0,0,1,4
20210102_0910-0920,0,0,2,6
20210102_0920-0930,0,0,2,4
20210102_0930-0940,0,0,3,9
20210102_0940-0950,0,0,2,7
20210102_0950-1000,0,0,1,9
20210102_1000-1010,0,1,2,8
20210102_1010-1020,0,0,3,8
20210102_1020-1030,0,0,4,8
20210102_1030-1040,0,0,2,7
20210102_1040-1050,0,0,1,13
20210102_1050-1100,0,1,2,18
20210102_1100-1110,0,1,3,23
20210102_1110-1120,0,0,4,21
20210102_1120-1130,0,0,2,23
20210102_1130-1140,0,0,2,28
20210102_1140-1150,0,0,1,28
20210102_1150-1200,0,0,3,21
20210102_1200-1210,0,0,2,6
20210102_1210-1220,0,0,3,8
20210102_1220-1230,0,0,2,8
20210102_1230-1240,0,0,1,14
20210102_1240-1250,0,0,3,14
20210102_1250-1300,0,0,2,13
20210102_1300-1310,0,0,4,8
20210102_1310-1320,0,0,2,12
20210102_1320-1330,0,1,1,12
20210102_1330-1340,0,0,2,15
20210102_1340-1350,0,0,3,7
20210102_1350-1400,0,0,4,13
20210102_1400-1410,0,0,2,14
20210102_1410-1420,0,0,1,21
20210102_1420-1430,0,0,1,18
20210102_1430-1440,0,0,3,23
20210102_1440-1450,0,0,3,14
20210102_1450-1500,0,0,2,19
20210102_1500-1510,0,0,2,17
20210102_1510-1520,0,0,1,23
20210102_1520-1530,0,0,3,12
20210102_1530-1540,0,0,2,20
20210102_1540-1550,0,0,3,13
20210102_1550-1600,0,0,2,14
20210102_1600-1610,0,0,1,10
20210102_1610-1620,0,0,2,10
20210102_1620-1630,0,0,2,9
20210102_1630-1640,0,0,3,7
20210102_1640-1650,0,0,2,11
20210102_1650-1700,0,0,2,11
20210102_1700-1710,0,0,3,13
20210102_1710-1720,0,0,3,12
20210102_1720-1730,0,0,5,12
20210102_1730-1740,0,0,2,19
20210102_1740-1750,0,0,1,14
20210102_1750-1800,0,0,1,13
20210102_1800-1810,0,0,4,11
20210102_1810-1820,0,0,3,13
20210102_1820-1830,0,0,2,12
20210102_1830-1840,0,0,2,14
20210102_1840-1850,0,1,1,9
20210102_1850-1900,0,1,3,5
20210102_1900-1910,0,0,3,7
20210102_1910-1920,0,0,3,7
20210102_1920-1930,1,0,2,10
20210102_1930-1940,1,0,1,9
20210102_1940-1950,1,0,2,7
20210102_1950-2000,1,0,2,9
20210102_2000-2010,1,0,3,9
20210102_2010-2020,1,0,2,9
20210102_2020-2030,0,0,2,9
20210102_2030-2040,0,0,2,9
20210102_2040-2050,0,0,4,9
20210102_2050-2100,0,0,3,9
20210102_2100-2110,0,0,3,5
20210102_2110-2120,0,0,1,8
20210102_2120-2130,0,0,1,7
20210102_2130-2140,0,0,3,13
20210102_2140-2150,0,0,3,16
20210102_2150-2200,0,0,2,19
20210102_2200-2210,0,0,2,12
20210102_2210-2220,0,0,1,16
20210102_2220-2230,0,0,3,11
20210102_2230-2240,0,0,2,15
20210102_2240-2250,0,0,3,8
20210102_2250-2300,0,0,2,13
20210102_2300-2310,0,0,2,11
20210102_2310-2320,0,0,2,14
20210102_2320-2330,0,0,2,11
20210102_2330-2340,0,0,3,13
20210102_2340-2350,0,0,4,12
20210102_2350-0000,0,0,3,8
20210103_0000-0010,0,0,3,8
20210103_0010-0020,0,0,4,11
20210103_0020-0030,0,0,4,10
20210103_0030-0040,0,0,2,8
20210103_0040-0050,0,0,2,5
20210103_0050-0100,0,0,1,8
20210103_0100-0110,0,0,3,6
20210103_0110-0120,0,0,3,5
20210103_0120-0130,0,0,2,3
20210103_0130-0140,0,0,2,2
20210103_0140-0150,0,0,1,5
20210103_0150-0200,0,0,3,7
20210103_0200-0210,0,0,2,6
20210103_0210-0220,0,0,3,11
20210103_0220-0230,0,0,2,7
20210103_0230-0240,0,0,2,11
20210103_0240-0250,0,0,2,7
20210103_0250-0300,0,0,3,7
20210103_0300-0310,0,0,3,3
20210103_0310-0320,0,0,2,3
20210103_0320-0330,0,0,2,5
20210103_0330-0340,0,0,2,8
20210103_0340-0350,0,0,4,9
20210103_0350-0400,0,0,3,10
20210103_0400-0410,0,0,2,5
20210103_0410-0420,0,2,2,9
20210103_0420-0430,0,2,2,7
20210103_0430-0440,0,2,3,6
20210103_0440-0450,0,2,3,0
20210103_0450-0500,0,2,2,1
20210103_0500-0510,0,2,2,4
20210103_0510-0520,0,2,3,7
20210103_0520-0530,0,2,3,3
20210103_0530-0540,0,2,2,5
20210103_0540-0550,0,2,2,3
20210103_0550-0600,0,2,2,5
20210103_0600-0610,0,2,2,5
20210103_0610-0620,0,2,2,6
20210103_0620-0630,0,2,2,4
20210103_0630-0640,0,2,3,2
20210103_0640-0650,0,2,2,0
20210103_0650-0700,0,1,2,2
20210103_0700-0710,0,2,1,3
20210103_0710-0720,0,2,3,8
20210103_0720-0730,0,1,3,3
20210103_0730-0740,0,2,2,5
20210103_0740-0750,0,2,1,4
20210103_0750-0800,0,2,2,7
20210103_0800-0810,0,2,3,8
20210103_0810-0820,0,2,3,4
20210103_0820-0830,0,3,1,2
20210103_0830-0840,0,3,2,5
20210103_0840-0850,0,3,3,8
20210103_0850-0900,0,2,3,10
20210103_0900-0910,0,2,2,5
20210103_0910-0920,0,2,2,6
20210103_0920-0930,0,2,2,3
20210103_0930-0940,0,2,2,5
20210103_0940-0950,0,2,2,5
20210103_0950-1000,0,2,4,7
20210103_1000-1010,0,2,3,8
20210103_1010-1020,0,2,2,9
20210103_1020-1030,0,2,2,7
20210103_1030-1040,0,2,1,8
20210103_1040-1050,0,2,4,5
20210103_1050-1100,0,2,3,7
20210103_1100-1110,0,2,3,5
20210103_1110-1120,0,2,2,7
20210103_1120-1130,0,2,2,8
20210103_1130-1140,0,2,3,9
20210103_1140-1150,0,2,4,8
20210103_1150-1200,0,2,2,12
20210103_1200-1210,0,2,3,11
20210103_1210-1220,0,2,3,13
20210103_1220-1230,0,2,3,11
20210103_1230-1240,0,2,2,16
20210103_1240-1250,0,2,2,17
20210103_1250-1300,0,3,2,15
20210103_1300-1310,0,2,2,6
20210103_1310-1320,0,2,2,3
20210103_1320-1330,0,2,2,6
20210103_1330-1340,0,2,3,11
20210103_1340-1350,0,2,2,11
20210103_1350-1400,0,2,2,12
20210103_1400-1410,0,3,2,11
20210103_1410-1420,0,2,3,14
20210103_1420-1430,0,2,3,16
20210103_1430-1440,0,2,1,13
20210103_1440-1450,0,2,1,10
20210103_1450-1500,0,2,2,10
20210103_1500-1510,0,2,3,9
20210103_1510-1520,0,2,4,10
20210103_1520-1530,0,2,1,11
20210103_1530-1540,0,2,2,15
20210103_1540-1550,0,2,2,11
20210103_1550-1600,0,2,3,13
20210103_1600-1610,0,2,2,10
20210103_1610-1620,0,2,2,15
20210103_1620-1630,0,2,2,13
20210103_1630-1640,0,2,2,8
20210103_1640-1650,0,2,3,10
20210103_1650-1700,0,2,3,8
20210103_1700-1710,0,2,4,9
20210103_1710-1720,0,2,1,9
20210103_1720-1730,0,2,4,8
20210103_1730-1740,0,2,2,9
20210103_1740-1750,0,2,4,9
20210103_1750-1800,0,2,5,7
20210103_1800-1810,0,2,2,10
20210103_1810-1820,0,2,1,8
20210103_1820-1830,0,2,2,13
20210103_1830-1840,0,2,3,17
20210103_1840-1850,0,2,4,10
20210103_1850-1900,0,2,3,10
20210103_1900-1910,0,2,2,6
20210103_1910-1920,0,2,2,9
20210103_1920-1930,0,2,3,11
20210103_1930-1940,0,2,3,12
20210103_1940-1950,0,2,4,12
20210103_1950-2000,0,2,3,7
20210103_2000-2010,0,2,2,5
20210103_2010-2020,0,0,3,9
20210103_2020-2030,0,2,4,10
20210103_2030-2040,0,2,4,10
20210103_2040-2050,0,2,1,4
20210103_2050-2100,0,2,2,7
20210103_2100-2110,0,2,2,9
20210103_2110-2120,0,2,4,11
20210103_2120-2130,0,2,4,7
20210103_2130-2140,0,2,3,9
20210103_2140-2150,0,2,1,15
20210103_2150-2200,0,2,2,17
20210103_2200-2210,0,2,4,17
20210103_2210-2220,0,2,4,19
20210103_2220-2230,0,2,2,12
20210103_2230-2240,0,2,3,11
20210103_2240-2250,0,2,2,7
20210103_2250-2300,0,2,4,8
20210103_2300-2310,0,2,3,10
20210103_2310-2320,0,2,3,11
20210103_2320-2330,0,2,2,8
20210103_2330-2340,0,3,3,6
20210103_2340-2350,0,2,3,9
20210103_2350-0000,0,2,3,16
20210104_0000-0010,0,2,4,14
20210104_0010-0020,0,2,1,12
20210104_0020-0030,0,2,2,11
20210104_0030-0040,0,2,2,12
20210104_0040-0050,0,2,4,9
20210104_0050-0100,0,2,4,11
20210104_0100-0110,0,3,2,13
20210104_0110-0120,0,3,1,11
20210104_0120-0130,0,3,2,6
20210104_0130-0140,0,3,4,6
20210104_0140-0150,0,3,5,2
20210104_0150-0200,0,3,2,3
20210104_0200-0210,0,3,1,2
20210104_0210-0220,0,3,2,5
20210104_0220-0230,0,3,4,8
20210104_0230-0240,1,2,3,6
20210104_0240-0250,0,3,3,7
20210104_0250-0300,0,3,1,5
20210104_0300-0310,0,3,2,3
20210104_0310-0320,0,3,3,4
20210104_0320-0330,0,3,3,2
20210104_0330-0340,0,3,4,4
20210104_0340-0350,0,3,1,8
20210104_0350-0400,0,3,2,6
20210104_0400-0410,0,3,2,6
20210104_0410-0420,0,3,5,6
20210104_0420-0430,0,3,4,6
20210104_0430-0440,0,3,2,2
20210104_0440-0450,0,3,0,3
20210104_0450-0500,0,3,4,4
20210104_0500-0510,0,3,4,5
20210104_0510-0520,0,3,4,5
20210104_0520-0530,0,3,3,3
20210104_0530-0540,0,3,1,6
20210104_0540-0550,0,3,2,5
20210104_0550-0600,0,3,4,3
20210104_0600-0610,0,3,3,1
20210104_0610-0620,0,3,3,2
20210104_0620-0630,0,3,1,4
20210104_0630-0640,0,3,2,8
20210104_0640-0650,0,3,3,3
20210104_0650-0700,0,3,3,4
20210104_0700-0710,0,3,4,5
20210104_0710-0720,0,3,1,10
20210104_0720-0730,0,2,2,8
20210104_0730-0740,0,2,2,8
20210104_0740-0750,0,2,5,5
20210104_0750-0800,0,2,4,5
20210104_0800-0810,0,3,2,4
20210104_0810-0820,0,2,0,12
20210104_0820-0830,0,2,3,12
20210104_0830-0840,0,0,4,13
20210104_0840-0850,0,2,4,10
20210104_0850-0900,0,2,2,12
20210104_0900-0910,0,2,1,9
20210104_0910-0920,0,2,2,10
20210104_0920-0930,0,2,4,13
20210104_0930-0940,,,,
20210104_0940-0950,0,2,3,10
20210104_0950-1000,1,1,1,10
20210104_1000-1010,0,2,2,6
20210104_1010-1020,0,2,3,8
20210104_1020-1030,0,2,4,9
20210104_1030-1040,0,2,4,12
20210104_1040-1050,0,2,1,9
20210104_1050-1100,0,2,1,7
20210104_1100-1110,0,2,2,10
20210104_1110-1120,0,2,5,15
20210104_1120-1130,0,2,5,17
20210104_1130-1140,0,2,2,19
20210104_1140-1150,0,2,1,8
20210104_1150-1200,0,2,2,7
20210104_1200-1210,0,2,4,8
20210104_1210-1220,0,3,4,11
20210104_1220-1230,0,2,2,10
20210104_1230-1240,0,2,1,8
20210104_1240-1250,0,2,3,7
20210104_1250-1300,0,2,5,8
20210104_1300-1310,0,2,4,5
20210104_1310-1320,0,2,3,13
20210104_1320-1330,0,2,1,6
20210104_1330-1340,0,2,1,10
20210104_1340-1350,0,2,3,8
20210104_1350-1400,0,2,4,12
20210104_1400-1410,0,3,4,12
20210104_1410-1420,0,2,1,18
20210104_1420-1430,0,2,1,16
20210104_1430-1440,0,2,2,14
20210104_1440-1450,0,2,5,12
20210104_1450-1500,0,2,4,14
20210104_1500-1510,0,2,2,11
20210104_1510-1520,0,2,0,11
20210104_1520-1530,0,2,2,9
20210104_1530-1540,0,2,4,13
20210104_1540-1550,0,2,4,6
20210104_1550-1600,0,2,2,5
20210104_1600-1610,0,2,1,4
20210104_1610-1620,0,2,2,8
20210104_1620-1630,0,2,4,12
20210104_1630-1640,0,2,4,15
20210104_1640-1650,0,2,3,9
20210104_1650-1700,0,3,1,9
20210104_1700-1710,0,2,1,11
20210104_1710-1720,0,2,4,18
20210104_1720-1730,0,2,4,16
20210104_1730-1740,0,2,4,18
20210104_1740-1750,0,2,1,19
20210104_1750-1800,0,2,1,18
20210104_1800-1810,0,2,2,14
20210104_1810-1820,0,2,5,13
20210104_1820-1830,0,2,4,14
20210104_1830-1840,0,2,2,16
20210104_1840-1850,0,3,0,15
20210104_1850-1900,0,2,2,15
20210104_1900-1910,0,2,4,12
20210104_1910-1920,0,2,5,9
20210104_1920-1930,0,2,2,6
20210104_1930-1940,0,2,1,7
20210104_1940-1950,0,2,1,10
20210104_1950-2000,0,2,4,16
20210104_2000-2010,0,2,4,10
20210104_2010-2020,0,2,3,12
20210104_2020-2030,0,1,1,4
20210104_2030-2040,0,2,1,4
20210104_2040-2050,0,2,3,4
20210104_2050-2100,0,0,4,5
20210104_2100-2110,0,2,4,7
20210104_2110-2120,0,2,1,8
20210104_2120-2130,0,2,1,12
20210104_2130-2140,0,2,2,14
20210104_2140-2150,0,2,5,9
20210104_2150-2200,0,2,5,11
20210104_2200-2210,0,2,2,16
20210104_2210-2220,0,2,0,18
20210104_2220-2230,0,2,1,13
20210104_2230-2240,0,2,5,10
20210104_2240-2250,0,2,5,10
20210104_2250-2300,0,2,2,13
20210104_2300-2310,0,2,1,16
20210104_2310-2320,0,2,1,17
20210104_2320-2330,1,2,4,10
20210104_2330-2340,1,2,4,8
20210104_2340-2350,1,2,3,8
20210104_2350-0000,1,2,1,15
20210105_0000-0010,1,2,1,17
20210105_0010-0020,0,2,3,17
20210105_0020-0030,0,2,4,11
20210105_0030-0040,0,2,4,9
20210105_0040-0050,0,2,1,6
20210105_0050-0100,0,2,1,9
20210105_0100-0110,0,2,2,7
20210105_0110-0120,0,2,5,9
20210105_0120-0130,0,2,5,7
20210105_0130-0140,0,2,2,8
20210105_0140-0150,0,2,0,10
20210105_0150-0200,0,2,1,10
20210105_0200-0210,0,2,4,8
20210105_0210-0220,0,2,5,6
20210105_0220-0230,0,2,2,6
20210105_0230-0240,0,2,1,9
20210105_0240-0250,0,2,1,4
20210105_0250-0300,0,2,4,4
20210105_0300-0310,0,2,4,2
20210105_0310-0320,0,2,3,5
20210105_0320-0330,0,2,2,4
20210105_0330-0340,0,2,1,3
20210105_0340-0350,0,2,4,3
20210105_0350-0400,0,2,4,3
20210105_0400-0410,0,2,5,2
20210105_0410-0420,0,2,1,9
20210105_0420-0430,0,2,1,1
20210105_0430-0440,0,2,1,3
20210105_0440-0450,0,2,5,2
20210105_0450-0500,0,2,5,4
20210105_0500-0510,0,2,2,2
20210105_0510-0520,0,2,0,3
20210105_0520-0530,0,2,1,3
20210105_0530-0540,0,2,4,1
20210105_0540-0550,0,2,5,2
20210105_0550-0600,0,2,2,7
20210105_0600-0610,0,2,2,2
20210105_0610-0620,0,2,1,3
20210105_0620-0630,0,2,5,4
20210105_0630-0640,0,2,4,4
20210105_0640-0650,0,2,4,4
20210105_0650-0700,0,2,1,4
20210105_0700-0710,0,2,1,7
20210105_0710-0720,0,2,2,5
20210105_0720-0730,0,2,4,10
20210105_0730-0740,0,2,6,14
20210105_0740-0750,0,2,1,13
20210105_0750-0800,0,2,2,15
20210105_0800-0810,0,2,1,9
20210105_0810-0820,0,2,5,12
20210105_0820-0830,0,2,5,9
20210105_0830-0840,0,2,2,6
20210105_0840-0850,0,2,0,7
20210105_0850-0900,0,2,2,11
20210105_0900-0910,0,2,4,14
20210105_0910-0920,0,2,5,19
20210105_0920-0930,0,2,2,12
20210105_0930-0940,0,2,1,17
20210105_0940-0950,0,2,1,14
20210105_0950-1000,0,2,5,15
20210105_1000-1010,0,3,4,10
20210105_1010-1020,0,2,4,7
20210105_1020-1030,0,2,2,13
20210105_1030-1040,0,2,1,15
20210105_1040-1050,0,2,3,16
20210105_1050-1100,0,2,5,18
20210105_1100-1110,0,2,6,16
20210105_1110-1120,0,2,2,22
20210105_1120-1130,0,2,2,27
20210105_1130-1140,0,2,2,27
20210105_1140-1150,0,2,6,23
20210105_1150-1200,0,2,6,11
20210105_1200-1210,0,2,3,10
20210105_1210-1220,0,2,0,4
20210105_1220-1230,0,2,1,11
20210105_1230-1240,0,2,5,18
20210105_1240-1250,0,2,5,12
20210105_1250-1300,0,2,4,7
20210105_1300-1310,0,2,1,4
20210105_1310-1320,0,2,1,9
20210105_1320-1330,0,2,3,9
20210105_1330-1340,0,2,5,13
20210105_1340-1350,0,2,4,12
20210105_1350-1400,0,2,1,11
20210105_1400-1410,0,2,2,9
20210105_1410-1420,0,2,2,20
20210105_1420-1430,0,2,4,19
20210105_1430-1440,0,2,5,20
20210105_1440-1450,0,2,1,16
20210105_1450-1500,0,2,1,11
20210105_1500-1510,0,2,1,9
20210105_1510-1520,0,2,5,7
20210105_1520-1530,0,2,5,17
20210105_1530-1540,0,2,3,18
20210105_1540-1550,0,2,0,17
20210105_1550-1600,0,2,1,14
20210105_1600-1610,0,2,3,13
20210105_1610-1620,0,2,5,19
20210105_1620-1630,0,2,3,15
20210105_1630-1640,0,2,1,20
20210105_1640-1650,0,2,2,16
20210105_1650-1700,0,2,3,13
20210105_1700-1710,0,2,4,13
20210105_1710-1720,0,2,4,6
20210105_1720-1730,0,2,1,16
20210105_1730-1740,0,2,1,21
20210105_1740-1750,0,2,2,20
20210105_1750-1800,0,2,4,9
20210105_1800-1810,0,2,5,7
20210105_1810-1820,1,2,1,17
20210105_1820-1830,0,2,1,23
20210105_1830-1840,0,2,1,25
20210105_1840-1850,0,2,5,17
20210105_1850-1900,0,2,5,13
20210105_1900-1910,0,2,3,13
20210105_1910-1920,0,2,0,15
20210105_1920-1930,0,2,1,10
20210105_1930-1940,0,2,3,10
20210105_1940-1950,0,2,5,9
20210105_1950-2000,0,2,3,18
20210105_2000-2010,0,2,1,17
20210105_2010-2020,0,2,1,12
20210105_2020-2030,0,2,3,11
20210105_2030-2040,0,2,4,7
20210105_2040-2050,0,2,4,8
20210105_2050-2100,0,2,1,15
20210105_2100-2110,0,2,1,12
20210105_2110-2120,0,2,2,10
20210105_2120-2130,0,2,6,8
20210105_2130-2140,0,2,5,13
20210105_2140-2150,0,2,2,13
20210105_2150-2200,0,2,1,12
20210105_2200-2210,0,2,1,12
20210105_2210-2220,0,2,4,10
20210105_2220-2230,0,2,5,11
20210105_2230-2240,0,2,3,11
20210105_2240-2250,0,2,0,8
20210105_2250-2300,0,2,1,11
20210105_2300-2310,0,2,3,8
20210105_2310-2320,0,2,5,10
20210105_2320-2330,0,2,3,10
20210105_2330-2340,0,2,1,11
20210105_2340-2350,0,2,1,15
20210105_2350-0000,0,2,3,19
20210106_0000-0010,0,2,4,21
20210106_0010-0020,0,2,4,21
20210106_0020-0030,0,2,2,7
20210106_0030-0040,0,2,1,9
20210106_0040-0050,0,2,3,6
20210106_0050-0100,0,2,3,13
20210106_0100-0110,0,2,5,14
20210106_0110-0120,0,2,2,12
20210106_0120-0130,0,2,1,8
20210106_0130-0140,0,3,1,5
20210106_0140-0150,0,2,4,7
20210106_0150-0200,0,2,5,10
20210106_0200-0210,0,2,3,2
20210106_0210-0220,0,2,0,6
20210106_0220-0230,0,2,1,2
20210106_0230-0240,0,2,3,8
20210106_0240-0250,0,2,5,6
20210106_0250-0300,0,2,3,5
20210106_0300-0310,0,2,2,4
20210106_0310-0320,0,2,1,3
20210106_0320-0330,0,2,3,4
20210106_0330-0340,0,2,3,8
20210106_0340-0350,0,2,4,5
20210106_0350-0400,0,2,2,6
20210106_0400-0410,0,2,1,3
20210106_0410-0420,0,2,2,5
20210106_0420-0430,0,2,3,5
20210106_0430-0440,0,2,5,4
20210106_0440-0450,0,2,2,4
20210106_0450-0500,0,2,1,4
20210106_0500-0510,0,2,1,3
20210106_0510-0520,0,2,4,7
20210106_0520-0530,0,2,5,4
20210106_0530-0540,0,2,3,9
20210106_0540-0550,0,2,0,9
20210106_0550-0600,0,2,1,9
20210106_0600-0610,0,2,3,4
20210106_0610-0620,0,2,5,3
20210106_0620-0630,0,2,3,3
20210106_0630-0640,0,2,2,4
20210106_0640-0650,0,2,1,3
20210106_0650-0700,0,2,4,8
20210106_0700-0710,0,2,3,2
20210106_0710-0720,0,2,4,6
20210106_0720-0730,0,2,2,12
20210106_0730-0740,0,2,1,17
20210106_0740-0750,1,2,2,18
20210106_0750-0800,0,2,3,14
20210106_0800-0810,0,2,5,14
20210106_0810-0820,0,2,2,11
20210106_0820-0830,0,2,1,9
20210106_0830-0840,0,2,1,11
20210106_0840-0850,0,2,4,4
20210106_0850-0900,0,2,5,10
